x,y
planes on september 11 were,trained
on september 11 were trained,in
september 11 were trained in,afghanistan
11 were trained in afghanistan,'s
were trained in afghanistan 's,camps
trained in afghanistan 's camps,and
in afghanistan 's camps and,so
afghanistan 's camps and so,were
's camps and so were,tens
camps and so were tens,of
and so were tens of,thousands
so were tens of thousands,of
were tens of thousands of,others
tens of thousands of others,.
of thousands of others .,thousands
thousands of others . thousands,of
of others . thousands of,dangerous
others . thousands of dangerous,killers
. thousands of dangerous killers,schooled
thousands of dangerous killers schooled,in
of dangerous killers schooled in,the
dangerous killers schooled in the,methods
killers schooled in the methods,of
schooled in the methods of,murder
in the methods of murder,often
the methods of murder often,supported
methods of murder often supported,by
of murder often supported by,outlaw
murder often supported by outlaw,regimes
often supported by outlaw regimes,are
supported by outlaw regimes are,now
by outlaw regimes are now,spread
outlaw regimes are now spread,throughout
regimes are now spread throughout,the
are now spread throughout the,world
now spread throughout the world,like
spread throughout the world like,ticking
throughout the world like ticking,timebombs
the world like ticking timebombs,set
world like ticking timebombs set,to
like ticking timebombs set to,go
ticking timebombs set to go,off
timebombs set to go off,without
set to go off without,warning
to go off without warning,.
go off without warning .,thanks
off without warning . thanks,to
without warning . thanks to,the
warning . thanks to the,work
. thanks to the work,of
thanks to the work of,our
to the work of our,law
the work of our law,enforcement
work of our law enforcement,officials
of our law enforcement officials,and
our law enforcement officials and,coalition
law enforcement officials and coalition,partners
enforcement officials and coalition partners,hundreds
officials and coalition partners hundreds,of
and coalition partners hundreds of,terrorists
coalition partners hundreds of terrorists,have
partners hundreds of terrorists have,been
hundreds of terrorists have been,arrested
of terrorists have been arrested,.
terrorists have been arrested .,yet
have been arrested . yet,tens
been arrested . yet tens,of
arrested . yet tens of,thousands
. yet tens of thousands,of
yet tens of thousands of,trained
tens of thousands of trained,terrorists
of thousands of trained terrorists,are
thousands of trained terrorists are,still
of trained terrorists are still,at
trained terrorists are still at,large
terrorists are still at large,.
are still at large .,these
still at large . these,enemies
at large . these enemies,view
large . these enemies view,the
. these enemies view the,entire
these enemies view the entire,world
enemies view the entire world,as
view the entire world as,a
the entire world as a,battlefield
entire world as a battlefield,and
world as a battlefield and,we
as a battlefield and we,must
a battlefield and we must,pursue
battlefield and we must pursue,them
and we must pursue them,wherever
we must pursue them wherever,they
must pursue them wherever they,are
pursue them wherever they are,.
them wherever they are .,so
wherever they are . so,long
they are . so long,as
are . so long as,training
. so long as training,camps
so long as training camps,operate
long as training camps operate,so
as training camps operate so,long
training camps operate so long,as
camps operate so long as,nations
operate so long as nations,harbor
so long as nations harbor,terrorists
long as nations harbor terrorists,freedom
as nations harbor terrorists freedom,is
nations harbor terrorists freedom is,at
harbor terrorists freedom is at,risk
terrorists freedom is at risk,.
freedom is at risk .,and
is at risk . and,america
at risk . and america,and
risk . and america and,our
. and america and our,allies
and america and our allies,must
america and our allies must,not
and our allies must not,and
our allies must not and,will
allies must not and will,not
must not and will not,allow
not and will not allow,it
and will not allow it,.
will not allow it .,our
not allow it . our,nation
allow it . our nation,will
it . our nation will,continue
. our nation will continue,to
our nation will continue to,be
nation will continue to be,steadfast
will continue to be steadfast,and
continue to be steadfast and,patient
to be steadfast and patient,and
be steadfast and patient and,persistent
steadfast and patient and persistent,in
and patient and persistent in,the
patient and persistent in the,pursuit
and persistent in the pursuit,of
persistent in the pursuit of,two
in the pursuit of two,great
the pursuit of two great,objectives
pursuit of two great objectives,.
of two great objectives .,first
two great objectives . first,we
great objectives . first we,will
objectives . first we will,shut
. first we will shut,down
first we will shut down,terrorist
we will shut down terrorist,camps
will shut down terrorist camps,disrupt
shut down terrorist camps disrupt,terrorist
down terrorist camps disrupt terrorist,plans
terrorist camps disrupt terrorist plans,and
camps disrupt terrorist plans and,bring
disrupt terrorist plans and bring,terrorists
terrorist plans and bring terrorists,to
plans and bring terrorists to,justice
and bring terrorists to justice,.
bring terrorists to justice .,and
terrorists to justice . and,second
to justice . and second,we
justice . and second we,must
. and second we must,prevent
